company,tweet,created_at,likes,retweets,replies,ratio
AMZN,Potential bat pattern developing on $AMZN. Projected price target 149. Need to break B point for confirmation. https://t.co/BCQxJxQ3kp,2023-03-14 00:59:00+00:00,9,1,2,0.2
AMZN,"🐺Lone Wolf Watchlist🐺

$TSLA Over 177.35📈
$AAPL Over 153.14📈
$AMZN Over 94.02📈
$NVDA Under 222.97📉

Plan the Trade,… https://t.co/lc2PVNcubW",2023-03-14 00:39:42+00:00,6,2,8,1.0
AMZN,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,4,0.8
AMZN,"Stocks w/ most active options trading:

$TSLA - 2.036M
$BAC - 1.046M
$AAPL - 974k
$AMZN - 732k
$NVDA - 636k
$SCHW -… https://t.co/f8lpMZEIYU",2023-03-13 23:55:17+00:00,40,5,32,0.7111111111111111
AMZN,"My current watchlist: 

$AMZN
$DMS
$JRNGF
$ASOMF
$SD
$SRUUF
$POL
$LPX
$AFL
$TREX 

Long inflation. What would you add?",2023-03-13 23:07:17+00:00,8,2,1,0.1
AMZN,"Today's Dark Pool Whisper Trade Results! Biggest Gainers $CL_F $AMZN $GDX $C $WFC Join me tomorrow, all new day tra… https://t.co/cl1dnUiN47",2023-03-13 23:02:13+00:00,7,2,7,0.7777777777777778
AMZN,$AAPL $AMZN $TSLA $GOOG All look like major tops. $MSFT looks about the same as well. https://t.co/NYAOb4w1bQ,2023-03-13 22:52:01+00:00,89,7,39,0.40625
AMZN,"$AMZN stock skyrocketing since the launch of my Amplify UI Templates. I'm not saying I'm the reason, but I'm not NO… https://t.co/eYppDHQYSB",2023-03-13 20:40:56+00:00,4,1,2,0.4
AMZN,"Monday Option Volumes

$SPY 11.124m (41% call/59% put)
$QQQ 3.629m (41% call/59% put)
$TSLA 2.028m (50% call/50% pu… https://t.co/0aVuvAiRBN",2023-03-13 20:34:20+00:00,14,3,10,0.5882352941176471
AMZN,Watching $aapl $meta $baba $adbe $snow $now $shop $pypl $bidu $msft $amzn $googl $tsla $nvda  $spx $ba for tomorrow… https://t.co/X503Ya8CxL,2023-03-13 20:00:12+00:00,3,2,3,0.6
AMZN,"3/13 #alert #results con’t
$tgt 155P 2.40 to 3.30
$msft 240P 4.00 to 5.60

🚨SMALL GAINS ADDS UP🚨
Join a service tha… https://t.co/MWL89LXdQl",2023-03-13 20:00:08+00:00,3,2,2,0.4
