company,tweet,created_at,likes,retweets,replies,ratio
DIS,"Oscars Viewership Climbs 12% To 18.7 Million From 2022 

Oscars Audience Is Highest Since 2020 $DIS",2023-03-13 21:45:29+00:00,14,3,15,0.882352941
DIS,"🅰️nd erryone🧠Know my
🅱️ottom🅱️ is $AMC 🍿
She ma🤗#MainSqueeze📈
🅱️UT, now, I got $DIS 🐭’ide$tonk
🏔 $HYMC ⛏

🅱️ut #AMY… https://t.co/Qb6vN3sFdO",2023-03-13 19:37:47+00:00,4,1,5,1
DIS,Alot of concerns today understandably.  Think long term - total $SPX return is 11%.  Not easy but a few shopping li… https://t.co/gipVCsj2Av,2023-03-13 19:25:25+00:00,74,2,71,0.934210526
DIS,"$DIS  Disney continues relative weakness… stock trading well below major moving averages. #IBDpartner

Check out… https://t.co/KgcnQu0pDp",2023-03-13 19:21:40+00:00,5,2,4,0.571428571
DIS,$DIS is not a bank. But they might be the most woke company in the world. We submit that this will present signific… https://t.co/W53YEd47PF,2023-03-13 17:15:01+00:00,5,1,3,0.5
DIS,"$DIS 105/110 Call Debit spread for 8,323x in size https://t.co/gAUG3BO3Ow",2023-03-13 15:10:39+00:00,7,2,8,0.888888889
DIS,INBOX: Another Chapek hire is out at Disney. HR Chief Paul Richardson replaced by Sonia Coleman. $DIS,2023-03-13 13:34:26+00:00,5,3,1,0.125
DIS,"10 stocks I’m holding for the next 10 years:

- $AAPL
- $GOOG
- $MSFT
- $DIS
- $AMZN
- $NVDA
- $TSLA
- $VOO
- $IWM… https://t.co/uATJlKur6f",2023-03-13 11:25:03+00:00,365,34,350,0.877192982
DIS,Sacrifices must be made. $dis $cmcsa #mcu #hulu   https://t.co/fBe5q08yGq,2023-03-13 09:00:33+00:00,4,2,3,0.5
DIS,I think this is more proof $DIS handling of Disney Streaming is disgusting. Hulu is literally campaigning  all… https://t.co/DPmvwOYJ5M,2023-03-13 03:59:22+00:00,3,1,3,0.75
DIS,"Who will win big at the Oscars? 

Here are the most nominated studios:

• Disney/Searchlight: 22
• Netflix: 15
• Wa… https://t.co/Ox3rhhY9FF",2023-03-13 00:12:09+00:00,63,9,27,0.375
DIS,Franchise high opening weekend for Paramount’s #Scream6  $PARA $AMC $CMCSA $DIS https://t.co/g5T2fYNRgJ,2023-03-12 22:55:35+00:00,5,1,4,0.666666667
DIS,"New Consumer Callouts report on our Home Page:

$BBW Shout Out
$COST Modeling the Membership
$DIS Theme Parks
$ELF… https://t.co/7WOtBoNtcT",2023-03-12 18:38:02+00:00,4,1,1,0.2
DIS,"Strat Quarterly Updates

#SSS50PercentRule - $AA* $ABBV $ABT $ADBE* $BABA* $BILI* $CAR $CCJ* $CL $DAC $DASH $DIS… https://t.co/lZh9ueZQno",2023-03-12 17:16:58+00:00,4,1,5,1
DIS,GM - Weekly charts tell the 'bigger picture' all updated in #ChartsForCharity slack room (100% free)...enjoy!… https://t.co/pRlq6VMw47,2023-03-12 14:51:45+00:00,21,1,19,0.863636364
DIS,"“.. Recently, the hotel has seen months of disappointing occupancy, reaching a point where there were only enough g… https://t.co/HMFqk8D0wK",2023-03-12 14:01:07+00:00,26,6,16,0.5
