company,tweet,created_at,likes,retweets,replies,ratio
GOOGL,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,4,0.8
GOOGL,"Stocks w/ most active options trading:

$TSLA - 2.036M
$BAC - 1.046M
$AAPL - 974k
$AMZN - 732k
$NVDA - 636k
$SCHW -… https://t.co/f8lpMZEIYU",2023-03-13 23:55:17+00:00,40,5,27,0.6
GOOGL,Interesting take on how generative ai benefits the platforms for distribution. This makes logical sense creators pr… https://t.co/HVOabXWjO4,2023-03-13 22:12:48+00:00,12,2,1,0.071428571
GOOGL,Watching $aapl $meta $baba $adbe $snow $now $shop $pypl $bidu $msft $amzn $googl $tsla $nvda  $spx $ba for tomorrow… https://t.co/X503Ya8CxL,2023-03-13 20:00:12+00:00,3,2,2,0.4
GOOGL,#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN $GOOGL $AMD $BABA $META… https://t.co/Cqiozho3gu,2023-03-13 19:38:57+00:00,5,2,3,0.428571429
GOOGL,Done for the day. High IV on everything prevented some home run plays. Good news is we stacked up a ton of base hit… https://t.co/Fh9TW9IIDV,2023-03-13 19:32:35+00:00,6,1,5,0.714285714
GOOGL,"My vote is 3 times YES👍👍👍
#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN… https://t.co/Ytdw8W0hGQ",2023-03-13 17:37:22+00:00,4,2,6,1
GOOGL,"Recent bullish OTM flow (15 Minute delayed): 

$TSLA call $220 2024-03-15 - Prem: $145,065
$GOOGL call $98 2024-01-… https://t.co/D8myoaiu6s",2023-03-13 17:25:30+00:00,79,11,66,0.733333333
GOOGL,$GOOGL we caught this 1.25-1.90 in the discord 🤷🏽‍♂️ sniped it 🎯 https://t.co/ElqecbO6At https://t.co/PxdCW98ylp,2023-03-13 15:10:32+00:00,3,1,1,0.25
GOOGL,"to note: we are seeing relative rotation out of some pretty shit stocks into some stronger names such as $AAPL, $MSFT, $GOOGL",2023-03-13 15:09:28+00:00,3,1,2,0.5
GOOGL,"Added to $AMZN, $GOOGL, and $META today. 

In my view, we maybe get 1 more hike or even zero hikes, given what is h… https://t.co/mpxxeor5L3",2023-03-13 15:06:29+00:00,115,6,17,0.140495868
GOOGL,"#Dowjones Fut after our market closed

220 Point down...😆😆😆😆😄😊😄🙂👇👇👇👇

#stockmarkets #OptionsTrading 
 #niftyOptions… https://t.co/tJylRbwbBn",2023-03-13 12:22:03+00:00,11,2,1,0.076923077
GOOGL,"$GOOGL BofA - “Recent daily traffic data indicates that ChatGPT growth continues, but w/w trends are moderating wit… https://t.co/8bKTfcZV7J",2023-03-13 11:01:43+00:00,75,14,83,0.93258427
GOOGL,"#banknifty 40000 from 40600..600 points gain intraday..
Maza aur retweet 🔃🔃karo

#stockmarkets #OptionsTrading… https://t.co/faxjXbqibo",2023-03-13 08:00:28+00:00,8,4,10,0.833333333
GOOGL,"#banknifty from 40600 now at 40300✌️✌️✌️💸💸🧧🧧💵

#stockmarkets #OptionsTrading #Optionselling #optionstrade #nifty50… https://t.co/Yxsok8TZF4",2023-03-13 06:15:31+00:00,12,3,15,1
GOOGL,"WORD OF CAUTION🚨🚨🚨🚨

#kotakmahindrabank at 1705
1620 Levels can be seen in short term
Resistance 1760

Retweet🔃🔃… https://t.co/s0fRORpPpI",2023-03-13 06:00:43+00:00,30,12,6,0.142857143
GOOGL,"#TECHM at 1141 7 % up
✔️Price action almost done
✔️Good above 1170 now
✔️Support 1080

#stockmarkets… https://t.co/m5Pf2ABFwU",2023-03-13 05:45:30+00:00,3,1,4,1
GOOGL,"#Dowjones fut 420 points up

It will become normal after our 3:30 pm😌😊😀😉

 #niftyOptions #nifty #Bearish… https://t.co/pGNuVp5GWG",2023-03-13 03:33:11+00:00,5,1,3,0.5
GOOGL,"⚡️Insider eMail Incoming!

- Trading $SPY, results and outlook forward
- How $SVB 💥 impacts the markets
- $TSLA tra… https://t.co/tmMQqESkmc",2023-03-13 02:29:44+00:00,47,3,38,0.76
GOOGL,"No worries. It's coming along. $VIX $AMZN $AAPL $GOOGL $MSFT ✅

Now to tie it all into $SPY and screen shot the cha… https://t.co/7FGsPDWkKo",2023-03-13 00:04:27+00:00,14,2,0,0
GOOGL,The winners from the banking/vc crisis - $GOOGL $META $AMZN @dougkass @realmoney,2023-03-12 23:45:17+00:00,65,10,44,0.586666667
GOOGL,"$GOOGL

tremendous weakness 

staying objective here

stock looks like it has been forming a BEAR flag 

A breakdow… https://t.co/YIHjLxI6HX",2023-03-12 23:35:19+00:00,29,7,15,0.416666667
GOOGL,"Weekly Focus List for 3/13 - 3/17

$LOW $GOOGL $AMD $BA $SPY $QQQ

Sunday Scoop and Blog Post Below!⬇️… https://t.co/ZkczL5aWpG",2023-03-12 23:00:00+00:00,6,2,1,0.125
GOOGL,$MSFT Chief Technical Officer in Germany: Microsoft to introduce ChatGPT-4 next week; We will have multimodal model… https://t.co/bQYUv595e4,2023-03-12 18:52:01+00:00,10,2,1,0.083333333
GOOGL,"$SPY 
There are 34.4Mil shares worth $13.3Bil @ $386.17 from 12/21 - 12/22.  

Approx 50Mil shares here within 3 mo… https://t.co/Dbf2gLdwnH",2023-03-12 16:42:58+00:00,6,2,0,0
GOOGL,"$GOOGL Spent 4 days trying to push over 95 before rolling over.

88 area support. 

https://t.co/Q6qLFRuVBe",2023-03-12 14:28:40+00:00,11,2,9,0.692307692
GOOGL,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/MecWAzUH0A,2023-03-12 14:04:59+00:00,4,3,0,0
GOOGL,"Working with $GOOGL @GoogleCloud, $HUBC ensures easy scalability for high fidelity #cybersecurity solutions.… https://t.co/24NhGKkk4u",2023-03-12 13:50:00+00:00,5,1,0,0
GOOGL,"SAUDI ARAMCO MADE MORE THAN $160 BILLION DOLLARS IN PROFIT IN 2022. THATS MORE THAN WHAT GOOGLE , AMAZON, MICROSOFT… https://t.co/2RnnUjMNst",2023-03-12 13:45:13+00:00,52,3,46,0.836363636
GOOGL,"#Paytm at 592 taking support at indicator
Below this 545 is ON

#StockMarket #trading #StocksToTrade #stockstowatch… https://t.co/DJjXwrfS1d",2023-03-12 12:53:43+00:00,7,1,6,0.75
GOOGL,"My top 10 holdings halfway through March:

1. Comcast $CMCSA 13.6%
2. Bank of America $BAC 8.4%
3. Intel $INTC 6.5%… https://t.co/ASHmmEN3pD",2023-03-12 11:48:09+00:00,53,2,2,0.036363636
GOOGL,"🚨 BREAKING 🚨

SAUDI ARAMCO MADE MORE THAN $160 BILLION DOLLARS IN PROFIT IN 2022. THATS MORE THAN WHAT GOOGLE , AMA… https://t.co/FiWrB9QLGr",2023-03-12 11:17:37+00:00,3949,430,3812,0.870518383
GOOGL,"Can #SVBBank crash bring down global markets?

#StockMarket #trading #stockstowatch #SVBCollapse #SVBCrash… https://t.co/diWiYFhHN2",2023-03-12 05:55:14+00:00,8,1,9,1
GOOGL,"Word of Caution🚨🚨🚨
#RELIANCE at 2322
✔️Sitting at Make or break point
✔️If Slides down from here..sell off will be… https://t.co/MhusviNCYY",2023-03-12 05:47:41+00:00,9,6,10,0.666666667
GOOGL,"🆕WEEKEND VIDEO 3/12: https://t.co/8aYL6MAunA

$VIX $TLT $TNX $XLF $KRE $SIVB $FRC $SBNY $COF $JPM $BX $SCHW $DXY… https://t.co/Yqra9jzT81",2023-03-12 01:43:44+00:00,4,3,0,0
GOOGL,"$FIL #filecoin is the future of storage and exponential growth

$15 soon
https://t.co/q6pUMNjgYk
$META $GOOGL $TSLA… https://t.co/tVXxr5agSM",2023-03-11 23:20:58+00:00,31,5,3,0.083333333
GOOGL,"🚨CRASH INCOMING OR NAH?🚨

Will SVB receive a bailout? 🧐

$SPY $QQQ $IWM $AAPL $MSFT $GOOG $GOOGL $AMZN $TSLA $NVDA $NFLX $SIVB $KRE",2023-03-11 22:55:10+00:00,11,2,0,0
GOOGL,"#fintwit today!

Former coronavirus experts, turned into Russia war experts!

$SPX $SPY $QQQ $IWM $SIVB $SI $AAPL… https://t.co/VKsVW8O4Us",2023-03-11 18:08:22+00:00,7,2,6,0.666666667
