company,tweet,created_at,likes,retweets,replies,ratio
MCD,"Final trade time! Let's go around the horn...

$MCD $FITB $KEY $GOOG https://t.co/I5byaUFItg",2023-03-13 22:01:06+00:00,23,5,10,0.357142857
MCD,"FREE #OPTIONS Ideas

Scale out when above 25% Profit

$JNJ 155C&gt;153.25 | 151P&lt;151.34
$PG 138C&gt;137.83 | 136P&lt;136.51… https://t.co/QS7seR5fsF",2023-03-12 19:21:32+00:00,66,5,29,0.408450704
MCD,"Strat Monthly Updates

#SSS50PercentRule - $BRK.B $MCD $MGM $TBT $TTWO* $UAL* $WYNN*

1 - $MARA $MU $NCLH $RTX*

2d… https://t.co/wU98U96Fbn",2023-03-12 13:23:38+00:00,5,3,4,0.5
MCD,"$MCD Rarely trade this name but what a swing setup!

Trendline support confluence with the clearly respected 200SMA… https://t.co/X6UmY2jSGk",2023-03-12 12:04:33+00:00,37,4,2,0.048780488
MCD,"TRADE IDEA⚔️ #PRESSit
TICKER📈 $MCD
LONG TRIGGER🔫266.59
LONG PT🎯273.05
SHORT TRIGGER🔫261.25
SHORT PT🎯254.38 https://t.co/NlY4H1gvtm",2023-03-12 00:52:08+00:00,10,3,1,0.076923077
MCD,"Afraid of the stock market, due to $SVB's failure, $NSC's derailment, $INTC's dividend cut?

We have you COVERED.… https://t.co/okh8lSB4AO",2023-03-11 22:40:39+00:00,18,2,15,0.75
MCD,"Dow30stocks YTD

DowJones -4%

-14% $JNJ
-13% $AMGN $MMM $UNH
-11% $CVX $IBM $WBA
-10% $HON
-9% $HD $PG
-7% $KO $VZ… https://t.co/Us8V1BMnsF",2023-03-11 22:13:22+00:00,6,1,4,0.571428571
MCD,$MCD is approaching the bottom of a channel and also a horizontal support line.  Let's see if it can hold.  Always… https://t.co/TtiWza5aqQ,2023-03-11 16:31:56+00:00,7,1,7,0.875
MCD,"Here are 10 stocks that are known to pay increasing dividends:

Johnson &amp; Johnson $JNJ
Procter &amp; Gamble $PG
Coca-Co… https://t.co/vswHWMnR5X",2023-03-11 15:56:16+00:00,285,45,138,0.418181818
MCD,$MC the new $MCD https://t.co/OwORZYwl65,2023-03-11 09:37:39+00:00,66,5,48,0.676056338
MCD,"Dividend Growth Stocks

$V 💳
$AAPL 📱
$MCD 🍔
$HD 👷🏻‍♂️
$WM ♻️
$JPM  🏦
$MSFT  💻
$COST  🛒

Like 👍, Comment 🗨️ or Retwe… https://t.co/mdYcp7KAxm",2023-03-11 02:30:02+00:00,6,2,6,0.75
MCD,"When in doubt... focus on

$VOO and other low cost easy ETFs.

Buy dividend aristocrats and kings - $JNJ $PG $MCD -… https://t.co/MD1udVk6pW",2023-03-11 00:20:32+00:00,90,7,47,0.484536082
