company,tweet,created_at,likes,retweets,replies,ratio
META,Not going to act like an expert on banks or debate the Feds actions. Charts are wrecked and need time to repair. No… https://t.co/Jnf46Bu7a1,2023-03-14 01:56:27+00:00,10,2,7,0.583333333
META,"$META Meta pulling the plug on NFTs across Instagram and Facebook. 

Bullish? 😅 https://t.co/7TuiqdySSf",2023-03-14 01:30:00+00:00,40,2,25,0.595238095
META,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,0,0
META,"Stocks w/ most active options trading:

$TSLA - 2.036M
$BAC - 1.046M
$AAPL - 974k
$AMZN - 732k
$NVDA - 636k
$SCHW -… https://t.co/f8lpMZEIYU",2023-03-13 23:55:17+00:00,40,5,29,0.644444444
META,"$META 💡
Meta to wind down NFTs on platforms amid crypto bust

Meta Platforms Inc (META.O) is cutting off support fo… https://t.co/5JVT0r8wbu",2023-03-13 23:45:11+00:00,40,5,31,0.688888889
META,"$META is winding down support for NFTs on Instagram and Facebook, per TechCrunch.",2023-03-13 23:38:55+00:00,466,74,468,0.866666667
META,"""The tech and social media giant is winding down its digital collectibles initiative “to focus on other ways to sup… https://t.co/STqkBY566J",2023-03-13 23:05:42+00:00,48,1,16,0.326530612
META,"1. #Metadium $meta
2. #Carry $cre
3. #LoomNetwork(OLD) $loomold
4. #SIXNetwork $six
5. #XCADNetwork $xcad
6.… https://t.co/k7Ljam5iRu",2023-03-13 22:13:07+00:00,3,1,1,0.25
META,Interesting take on how generative ai benefits the platforms for distribution. This makes logical sense creators pr… https://t.co/HVOabXWjO4,2023-03-13 22:12:48+00:00,12,2,14,1
META,"""We’re winding down digital collectibles (NFTs) for now to focus on other ways to support creators, people, and bus… https://t.co/9pWFE0nYGi",2023-03-13 21:30:35+00:00,16,2,4,0.222222222
META,"$GMM nice volume and push 1hr chart

$META $TEF $GODS $IMX $LOKA $SAND $MANA #metaverse $DAR $BTC $ETH #metaverse… https://t.co/ZQ0VBFDdvS",2023-03-13 21:19:01+00:00,5,1,0,0
META,Facebook $META just announced its winding down its focus on NFTs https://t.co/heQvybSSAI,2023-03-13 21:15:46+00:00,60,9,23,0.333333333
META,Watching $aapl $meta $baba $adbe $snow $now $shop $pypl $bidu $msft $amzn $googl $tsla $nvda  $spx $ba for tomorrow… https://t.co/X503Ya8CxL,2023-03-13 20:00:12+00:00,3,2,0,0
META,#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN $GOOGL $AMD $BABA $META… https://t.co/Cqiozho3gu,2023-03-13 19:38:57+00:00,5,2,7,1
META,Done for the day. High IV on everything prevented some home run plays. Good news is we stacked up a ton of base hit… https://t.co/Fh9TW9IIDV,2023-03-13 19:32:35+00:00,6,1,7,1
META,"Just to name a few they price upgrade (@GoldmanSachs) $aapl $fslr $sivb $ge $meta 

Yes all below the price when th… https://t.co/4j43cROwd1",2023-03-13 19:04:38+00:00,3,2,4,0.8
META,"$SPY $QQQ $AMZN $META 

Like I said the FED goes until they break something. Same thing happened with the bank that… https://t.co/WWpsung28D",2023-03-13 19:00:17+00:00,5,1,3,0.5
META,"It was in 2017 when the idea of a multifunctional drone was doodled on a piece of paper. Fast forward 2023, the… https://t.co/FOftIubERO",2023-03-13 18:16:00+00:00,52,12,0,0
META,"$EPAZ taking multiple paths to becoming a government contractor of drones. 
$META $MSFT $QCOM $GOOG $NVDA $AMC… https://t.co/2bBVZABffD",2023-03-13 18:08:50+00:00,5,7,4,0.333333333
META,HUGE $META PROFITS COMING!! https://t.co/jUnSpe9RbX,2023-03-13 18:06:38+00:00,8,1,6,0.666666667
META,"We literally had a moment last year when $META was $80 a share. 

That’s how dumb the market can get.",2023-03-13 18:04:21+00:00,67,1,10,0.147058824
META,"Recent bearish OTM flow (15 Minute delayed): 

$SQ put $67 2023-03-24 - Prem: $58,275
$GM put $35 2024-01-19 - Prem… https://t.co/JrfRkL652L",2023-03-13 17:51:07+00:00,58,9,20,0.298507463
META,"My vote is 3 times YES👍👍👍
#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN… https://t.co/Ytdw8W0hGQ",2023-03-13 17:37:22+00:00,4,2,6,1
META,"⚠️ $SPY - $META - Consolidation / Chopping

Like $SPY, $META is in an extended chop sideways. 
Scratching. 

Remind… https://t.co/kmespoUNLG",2023-03-13 16:13:20+00:00,22,1,21,0.913043478
META,"Remember when John Korinko nailed a 448.2% $META trade in 1 day? We sure do. 😎
#throwback https://t.co/yyUtV7RZE0",2023-03-13 16:00:00+00:00,3,1,2,0.5
META,"$META - major confluence today so used 2R on the long
1. Broadening Wedge pattern
2. HS line
3. UTL on HTF chart… https://t.co/66MWRtf3TF",2023-03-13 15:58:36+00:00,25,1,15,0.576923077
META,"Added to $AMZN, $GOOGL, and $META today. 

In my view, we maybe get 1 more hike or even zero hikes, given what is h… https://t.co/mpxxeor5L3",2023-03-13 15:06:29+00:00,115,6,59,0.487603306
META,"@ReluctantSteve2 Of course, if anything - $META has tightened further and further.

Risk is everything and always n… https://t.co/zrqUyYH7JJ",2023-03-13 14:42:29+00:00,12,1,0,0
META,"10 stocks that were the most traded in the first 40 minutes after the open today at tastytrade.

$TSLA $NVDA $AMZN… https://t.co/q1UetRO47f",2023-03-13 14:26:22+00:00,6,1,1,0.142857143
META,"3/13 #alert #results
$meta 170P 3.45 to 6.00
$tsla 160P 3.50 to 6.70
$nflx 270P 3.90 to 6.90
$gs 310P 3.65 to 9.20… https://t.co/RgOWrecZlq",2023-03-13 14:06:03+00:00,3,2,1,0.2
META,"Out of the gate, here are the calls and puts on the ask/above the ask/$500K+

$SMH $PDD $SPY $QQQ $BABA $DAL $META… https://t.co/AvjMHZk4U2",2023-03-13 14:05:35+00:00,10,3,11,0.846153846
META,"⚠️ $META update 15% move from entry.

Move down from entry point for 15%. By my standards, that's a break even or s… https://t.co/0W5q1xW3fP",2023-03-13 14:04:26+00:00,13,3,2,0.125
META,"Note: $META target Idea was updated. Certainly weak and moving to the downside as projected.

But not chasing down… https://t.co/3heAaoHRwj",2023-03-13 13:44:38+00:00,33,5,35,0.921052632
META,"⚠️3/13/23 Options Trading Watchlist Ideas ✅

$META 162.5p/165p &lt; $180.2 (UPDATED)⭐️

Volatile AM. Adjusted entry po… https://t.co/m5mmzQB456",2023-03-13 13:42:52+00:00,20,2,3,0.136363636
META,"⚠️3/13/23 Options Trading Watchlist Ideas ✅

$META 167.5p/170p &lt; $183.9

Volatile AM. Adjusted entry point. Respect… https://t.co/pfWvvQKu8L",2023-03-13 13:25:20+00:00,59,5,35,0.546875
META,Good morning all:) It’s looking like another crazy market day ahead. (Photo for inspiration). $SPY $QQQ $TSLA $NFLX… https://t.co/bmJEDC2CfV,2023-03-13 12:06:01+00:00,46,3,24,0.489795918
META,"Welcome to our @7investing Market Madness tournament!

We're now in Round 1, Matchup 5: Apple $AAPL vs Meta Platfor… https://t.co/kl2Mv2Vmkv",2023-03-13 11:48:04+00:00,3,2,0,0
META,Wall St analysts didn't see $META go from $380 to $80. They didn't see $SIVB go from $760 to $0. What are they paid… https://t.co/zLz85igRDn,2023-03-13 10:16:09+00:00,23,1,8,0.333333333
META,"3/13/23 Options Trading Watchlist Ideas ✅

$META 172.5p &lt; $184.5

$SPY &amp; $QQQ futures gapping up but its very early… https://t.co/bbNIouGR5o",2023-03-13 01:25:56+00:00,103,7,82,0.745454545
META,"🚨3/13 Watchlist🚨
$TSLA
3/17 185 Call over 176.08
3/17 165 Put under 171.77
$SQ
3/17 75 Call over 71.84
3/17 67.5 Pu… https://t.co/hwMQD7utAU",2023-03-13 01:06:42+00:00,21,2,9,0.391304348
META,"$ROKU
-26% of its cash in $SIBV (est $487M) 
-engulfing OB on weekly 🩸
-spinning top on DAILY 🩸
-GAP below

2 level… https://t.co/E28JUSNGou",2023-03-13 00:07:30+00:00,22,11,20,0.606060606
META,"🐺Lone Wolf Watchlist🐺

$META Over 183.08📈
$NVDA Over 231.71📈
$AMD Under 81.60📉
$AMZN Under 90.25📉

Plan the Trade,… https://t.co/A1U7EJeD8S",2023-03-13 00:05:44+00:00,17,3,17,0.85
META,"New #TradeBreakdown Episode⚡️

- Step by Step Walkthrough from my $META 180P (+432%) Trade on Friday 

- Full Revie… https://t.co/WixDDLTSLb",2023-03-13 00:04:06+00:00,64,4,14,0.205882353
META,"$TSLA - Under 167 - Trade Idea 💡 - Mar 17 160P

Closed at 173.44

If TSLA breaks under 167 it can drop to 155-158 n… https://t.co/gMZOfudymL",2023-03-13 00:01:01+00:00,119,12,18,0.13740458
META,"$NFLX - Under 291 - Trade Idea 💡 - Mar 17 285P

Closed at 292.76

NFLX can pull back to 283, 276 before a short ter… https://t.co/o6VmY1FDUn",2023-03-13 00:00:07+00:00,51,7,1,0.017241379
META,The winners from the banking/vc crisis - $GOOGL $META $AMZN @dougkass @realmoney,2023-03-12 23:45:17+00:00,65,10,57,0.76
META,"We know who is shorted for Monday by the reactions today!  Play well.  Always Hedge.

$SPY $NQ $YM $SIVB $META $TSLA $ROKU $RBLX",2023-03-12 22:59:07+00:00,3,2,1,0.2
META,$AAPL launching their MR headset will legitimize $META's efforts in this space and make them the cheaper alternativ… https://t.co/meR2UzUiHj,2023-03-12 22:31:28+00:00,70,4,31,0.418918919
META,"$kwe the interest here is really coming 

600k float

AI 

MILITARY

$jagx another one 

$muln $hlbz $sivb $si… https://t.co/qpl1Kc7z7F",2023-03-12 22:27:50+00:00,4,1,2,0.4
META,"STRONG companies that I believe will SURVIVE the current downturn

🇨🇦 
$CNR $CP
$RY $TD $BNS
$BN $BAM
$ATD $L
$ENB… https://t.co/Qle7qcZk6T",2023-03-12 22:21:25+00:00,33,3,16,0.444444444
META,"CPI Estimates (Tuesday)

MS:6%
GS: 6.1% 
BAC: 6.1%
HSBC: 6%
NORD/LB: 6%
LLOYDS BANK: 6%
TD SECURITIES: 6.1%
CREDIT… https://t.co/OR6UHyeAnY",2023-03-12 19:37:52+00:00,3,2,1,0.2
META,"⚡️Weekly Watchlist⚡️

✅ $SPY 
📈C &gt; 390
📉P &lt; 382/380
🥽 $AMD
📈C &gt; 84
📉P &lt; 80.50
⌛️ $META
📈C &gt; 181.50
📉P &lt; 177
 🪙… https://t.co/GWFNqtnGEa",2023-03-12 19:00:00+00:00,314,13,28,0.085626911
META,"03/13/2023 watchlist.

$AAPL 🍎 
17 Mar 23 $146 Put 📉 BELOW $147.33

$AVGO 💾
17 Mar 23 $605 Put 📉 BELOW $612.82… https://t.co/4Bi2fjgaP8",2023-03-12 18:20:55+00:00,106,10,68,0.586206897
META,"Can someone please help me understand what 80,000 $META employees are doing the whole day, of course other than pos… https://t.co/uqj3chsMwS",2023-03-12 17:26:24+00:00,54,5,33,0.559322034
META,"The S&amp;P 500 and other major indexes plunged last week, breaking through multiple support levels. Bank stocks led th… https://t.co/pdHhFFJjm1",2023-03-12 17:10:03+00:00,26,4,3,0.1
META,"This has been accurate so far. This, decent chance Boz really does leave? $META https://t.co/N489rVWrPe",2023-03-12 16:52:00+00:00,9,1,3,0.3
META,"$SPY 
There are 34.4Mil shares worth $13.3Bil @ $386.17 from 12/21 - 12/22.  

Approx 50Mil shares here within 3 mo… https://t.co/Dbf2gLdwnH",2023-03-12 16:42:58+00:00,6,2,3,0.375
META,"Heavy struggle for $META to break resistance on that trendline

https://t.co/DStZhDBBOj",2023-03-12 16:24:15+00:00,9,1,6,0.6
META,$META popped in the after hours session last Friday on more layoff news. This week I am looking for a break over 18… https://t.co/bIpB1jPbfc,2023-03-12 14:49:01+00:00,7,2,7,0.777777778
META,"@ParrotCapital In all seriousness, I wouldn’t be surprised if $AAPL or $META (mainly for WhatsApp Pay, which is bui… https://t.co/x4jVs9r7jD",2023-03-12 14:34:34+00:00,7,1,2,0.25
META,"$META one of the strongest charts out there still. 

21D support, 190 needs to clear to the upside

https://t.co/yaAK14MyNW",2023-03-12 14:09:46+00:00,6,2,2,0.25
META,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/MecWAzUH0A,2023-03-12 14:04:59+00:00,4,3,3,0.428571429
META,"My top 10 holdings halfway through March:

1. Comcast $CMCSA 13.6%
2. Bank of America $BAC 8.4%
3. Intel $INTC 6.5%… https://t.co/ASHmmEN3pD",2023-03-12 11:48:09+00:00,53,2,45,0.818181818
META,"Turn your house into a first person shooter game
(FPS enhanced reality game on SideQuest for Quest 2 and Pro)
$meta… https://t.co/EL4YcYojXo",2023-03-12 06:51:58+00:00,8,3,10,0.909090909
META,"Meta is taking on Twitter in the battle for the digital town square! 

With plans for a new decentralized social me… https://t.co/7ZnZVyteZ4",2023-03-12 02:17:09+00:00,81,18,17,0.171717172
META,"🆕WEEKEND VIDEO 3/12: https://t.co/8aYL6MAunA

$VIX $TLT $TNX $XLF $KRE $SIVB $FRC $SBNY $COF $JPM $BX $SCHW $DXY… https://t.co/Yqra9jzT81",2023-03-12 01:43:44+00:00,4,3,3,0.428571429
META,"Raining in Miami so we hitting the links in $META

with @Rengle820 @golfplusvr https://t.co/2zckwbWXBl",2023-03-11 23:46:45+00:00,6,1,7,1
