company,tweet,created_at,likes,retweets,replies,ratio
MSFT,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,2,0.4
MSFT,"Trade plan for Tuesday ✅

$SPX consolidated in a range above 3838 for most of the day. If there's a positive reacti… https://t.co/tfjyYt3abZ",2023-03-14 00:14:40+00:00,52,7,52,0.881355932
MSFT,Microsoft $MSFT laid off its entire ethics and society team within the artificial intelligence organization which w… https://t.co/61xe11WkBh,2023-03-14 00:08:51+00:00,102,22,11,0.088709677
MSFT,"Stocks w/ most active options trading:

$TSLA - 2.036M
$BAC - 1.046M
$AAPL - 974k
$AMZN - 732k
$NVDA - 636k
$SCHW -… https://t.co/f8lpMZEIYU",2023-03-13 23:55:17+00:00,40,5,45,1
MSFT,"Nice to see the announcement coming from the $MSFT side for $NTNX Cloud Clusters on Azure. 

Run hybrid workloads. 

https://t.co/kdZgYUJenC",2023-03-13 23:37:16+00:00,3,1,4,1
MSFT,"$MSFT Above ask opening sweep into the bell 👀

2349 MSFT Mar23 31st 272.5 Calls $1.84  Above Ask! 15:55:44 OPENING  MSFT = 254.32 Ref $432k",2023-03-13 23:19:17+00:00,4,1,0,0
MSFT,$AAPL $AMZN $TSLA $GOOG All look like major tops. $MSFT looks about the same as well. https://t.co/NYAOb4w1bQ,2023-03-13 22:52:01+00:00,96,8,4,0.038461538
MSFT,"03/13/23 - Here's the intro of today's #MarketOutlook video from @MarketScholars

Watch the full video for free her… https://t.co/3rCtNA91wP",2023-03-13 22:39:49+00:00,50,13,14,0.222222222
MSFT,"Some interesting put flow coming in above the ask this afternoon, check it out! 👀👇

$SPY $XOP $JPM $TSLA $MSFT $IWM https://t.co/HPUyGEGzeR",2023-03-13 22:30:01+00:00,45,8,39,0.735849057
MSFT,"Happy 37th birthday, $MSFT!

The stock is up an incredible 348,212.75% since its IPO... but are the traders buying… https://t.co/GVryJFti0i",2023-03-13 21:59:16+00:00,28,13,13,0.317073171
MSFT,$MSFT this is not a big deal. Price is going lower. ⬇️⬇️⬇️ https://t.co/QidK2p7EGW,2023-03-13 21:49:19+00:00,30,6,4,0.111111111
MSFT,"On the anniversary of their 1986 listing, @Microsoft joins us to commemorate #WomensHistoryMonth as we welcome… https://t.co/ztyB7i2jv9",2023-03-13 21:46:45+00:00,11,1,4,0.333333333
MSFT,"We had Danielle Shay @traderDanielle in today's show and we had an awesome chat about FOMC CPI PPI FEB, INFLATION,… https://t.co/bekbmTZyK4",2023-03-13 20:30:00+00:00,21,1,14,0.636363636
MSFT,$ddog and $msft webinar https://t.co/GwR2VpoCXE,2023-03-13 20:03:46+00:00,4,1,1,0.2
