company,tweet,created_at,likes,retweets,replies,ratio
NFLX,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,5,1
NFLX,"3.14 watchlist. trade at your own risk

$NFLX &gt; 299.45 &lt; 293
$NVDA &gt; 233.25 &lt; 228.45
$COIN &gt; 60.31 (DP) &lt; 59.2… https://t.co/LK7cPCtt0h",2023-03-13 22:18:09+00:00,4,1,0,0
NFLX,HEY $MS since you’re calling for Armageddon and $SPX 3K by Summer why didn’t you tell all your retail clients to du… https://t.co/ZAqvCuQlhV,2023-03-13 21:49:32+00:00,11,3,1,0.071428571
NFLX,Watching $aapl $meta $baba $adbe $snow $now $shop $pypl $bidu $msft $amzn $googl $tsla $nvda  $spx $ba for tomorrow… https://t.co/X503Ya8CxL,2023-03-13 20:00:12+00:00,3,2,4,0.8
NFLX,"3/13 #alert #results con’t
$tgt 155P 2.40 to 3.30
$msft 240P 4.00 to 5.60

🚨SMALL GAINS ADDS UP🚨
Join a service tha… https://t.co/MWL89LXdQl",2023-03-13 20:00:08+00:00,3,2,1,0.2
NFLX,"If you missed it, here is our review of the latest quarter. $NFLX
https://t.co/0nn9xfR0SB",2023-03-13 19:43:55+00:00,16,2,6,0.333333333
NFLX,"🍿 Netflix could shake things up by exploring options for its advertising tech operations. 

With a current two-year… https://t.co/K64M3butnR",2023-03-13 19:43:54+00:00,88,11,13,0.131313131
NFLX,#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN $GOOGL $AMD $BABA $META… https://t.co/Cqiozho3gu,2023-03-13 19:38:57+00:00,5,2,5,0.714285714
NFLX,"My vote is 3 times YES👍👍👍
#AMC #APE #GME $AMC $APE $GME $BBBY $SPY $QQQ $NDX $NFLX $FB $GNS $AAPL $NVDA $TSLA $AMZN… https://t.co/Ytdw8W0hGQ",2023-03-13 17:37:22+00:00,4,2,5,0.833333333
NFLX,"@AjTrader7 Another $1000 day trading $NFLX, $FRC and $WAL.   Thank you as always for the guidance!  You are THE BEST!!!",2023-03-13 15:38:58+00:00,5,2,5,0.714285714
NFLX,"3/13 #alert #results
$meta 170P 3.45 to 6.00
$tsla 160P 3.50 to 6.70
$nflx 270P 3.90 to 6.90
$gs 310P 3.65 to 9.20… https://t.co/RgOWrecZlq",2023-03-13 14:06:03+00:00,3,2,5,1
NFLX,"Long Watches: $ILMN, $BILL, $LLY, $NEM! Short Watches: $NFLX, $TSLA, $NVDA, $CRWD, $FSLR, $CVX!",2023-03-13 13:05:19+00:00,29,1,24,0.8
NFLX,"Premarket plan 🌄

$SPX if this fails to defend 3800 by tomorrow we can see another pull back to 3700-3721 next. Put… https://t.co/dlmqSvfkw3",2023-03-13 13:00:04+00:00,60,6,59,0.893939394
NFLX,"Good Morning Traders
Stocks that have MY interest this morning
$PACW
$WAL
$ZIM
$CALT
$ZION
$FRC
$COIN
$SCHW
$ILMN… https://t.co/VanlyrRgt1",2023-03-13 12:51:32+00:00,5,1,5,0.833333333
NFLX,"https://t.co/SXnvWJ8Oqq &lt;&lt;&lt;SIGN IT!
#FINRAFRAUD #CITADELSCANDAL 
$SPY $SPX $VIX $VXX $QQQ $SQQQ $IWM $SRTY $BOIL… https://t.co/iyiP2CObNF",2023-03-13 12:35:18+00:00,4,3,5,0.714285714
NFLX,"https://t.co/SXnvWJ8Oqq &lt;&lt;&lt;SIGN IT!
#FINRAFRAUD #CITADELSCANDAL 
$MMTLP $SPY $SPX $VIX $VXX $IWM $SRTY $BOIL $KOLD… https://t.co/TWLfXxSnbc",2023-03-13 12:10:34+00:00,8,7,7,0.466666667
NFLX,Good morning all:) It’s looking like another crazy market day ahead. (Photo for inspiration). $SPY $QQQ $TSLA $NFLX… https://t.co/bmJEDC2CfV,2023-03-13 12:06:01+00:00,46,3,25,0.510204082
NFLX,"Should @jimcramer admit he just lost people billions and resign his position on cartoon network @CNBC?

$NFLX, $FB,… https://t.co/YIt72VZlyd",2023-03-13 10:56:57+00:00,3,1,3,0.75
NFLX,"Who will win big at the Oscars? 

Here are the most nominated studios:

• Disney/Searchlight: 22
• Netflix: 15
• Wa… https://t.co/Ox3rhhY9FF",2023-03-13 00:12:09+00:00,63,9,65,0.902777778
NFLX,"$TSLA - Under 167 - Trade Idea 💡 - Mar 17 160P

Closed at 173.44

If TSLA breaks under 167 it can drop to 155-158 n… https://t.co/gMZOfudymL",2023-03-13 00:01:01+00:00,119,12,81,0.618320611
NFLX,"$NFLX - Under 291 - Trade Idea 💡 - Mar 17 285P

Closed at 292.76

NFLX can pull back to 283, 276 before a short ter… https://t.co/o6VmY1FDUn",2023-03-13 00:00:07+00:00,51,7,45,0.775862069
NFLX,"Strat Quarterly Updates

#SSS50PercentRule - $AA* $ABBV $ABT $ADBE* $BABA* $BILI* $CAR $CCJ* $CL $DAC $DASH $DIS… https://t.co/lZh9ueZQno",2023-03-12 17:16:58+00:00,4,1,3,0.6
NFLX,"$SPY 
There are 34.4Mil shares worth $13.3Bil @ $386.17 from 12/21 - 12/22.  

Approx 50Mil shares here within 3 mo… https://t.co/Dbf2gLdwnH",2023-03-12 16:42:58+00:00,6,2,0,0
NFLX,$NFLX broke the 200 EMA on the daily. Failed to hold 300 as support. Name looks weak. Short idea this week under 28… https://t.co/2RM2fLEZrZ,2023-03-12 15:02:58+00:00,6,1,4,0.571428571
NFLX,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/MecWAzUH0A,2023-03-12 14:04:59+00:00,4,3,0,0
NFLX,🃏 $NFLX and #AMCPerfectlyPopcorn 🍿𝒄𝒉𝒊𝒍𝒍 🤡🩳 https://t.co/2m7FIE2GrP,2023-03-12 06:44:51+00:00,182,29,61,0.289099526
NFLX,@DowdEdward Icahn wrecked him on that $NFLX trade back in the day.  Ackman is a clown.,2023-03-12 06:22:51+00:00,6,1,6,0.857142857
NFLX,"Just ran across a screen shot from
 10/16/21 - 

I was researching for earnings $NFLX 

Note , the stock price uppe… https://t.co/H8ZcZhvGPW",2023-03-12 05:52:25+00:00,3,1,4,1
NFLX,"Where was his genius solutions to help working families for the last 18 months? Oh wait, he wasn’t in the mood after losing 400m on $NFLX.",2023-03-12 02:33:24+00:00,43,2,9,0.2
NFLX,"🆕WEEKEND VIDEO 3/12: https://t.co/8aYL6MAunA

$VIX $TLT $TNX $XLF $KRE $SIVB $FRC $SBNY $COF $JPM $BX $SCHW $DXY… https://t.co/Yqra9jzT81",2023-03-12 01:43:44+00:00,4,3,1,0.142857143
NFLX,"🚨CRASH INCOMING OR NAH?🚨

Will SVB receive a bailout? 🧐

$SPY $QQQ $IWM $AAPL $MSFT $GOOG $GOOGL $AMZN $TSLA $NVDA $NFLX $SIVB $KRE",2023-03-11 22:55:10+00:00,11,2,7,0.538461538
NFLX,"Pretty big volume shelf around the current price

If this volume sells off instead of holding, there is going to be… https://t.co/fTSXcZmj51",2023-03-11 21:57:58+00:00,7,1,7,0.875
NFLX,"$NFLX #NFLX Breakdown through the broadening wedge support zone this week. 

June reversal VWAP zone below currentl… https://t.co/qZ68ahNtm7",2023-03-11 21:18:55+00:00,72,8,8,0.1
NFLX,"$NFLX Netflix daily RSI dips into extreme oversold territory for the first time since May 2022! 👀

See what happens… https://t.co/7NO55QMP4Z",2023-03-11 17:30:00+00:00,128,13,140,0.992907801
NFLX,"$SPY
14.7Mil shr #darkpool @ $385.96

SP: 33
10Mil shr @ $391.61 (see prev twt 4 ttl)

Draw those lines

$SPY $SPX… https://t.co/ME4ju668b4",2023-03-11 17:25:38+00:00,5,1,3,0.5
NFLX,"When it rains, it pours ☔️

✅115 stocks in the S&amp;P 500 had a daily RSI &lt; 30 yesterday, check it out!

$GS $PFE… https://t.co/VzEL0oY9zh",2023-03-11 17:00:00+00:00,24,2,24,0.923076923
NFLX,"Age of companies:

100 years: Disney $DIS
48 years: Microsoft $MSFT
47 years: Apple $APPL
29 years: Amazon $AMZN
26… https://t.co/DKhdzfe7C0",2023-03-11 15:10:00+00:00,56,12,61,0.897058824
NFLX,This from $NFLX is making me think about $GOOG culture...🧐 https://t.co/MDzAP09Z5X,2023-03-11 10:43:07+00:00,8,2,10,1
NFLX,$NFLX (weekly) closed below converged weekly 5/9/20ema https://t.co/KDClssfCRc https://t.co/PBIMfDVxd8,2023-03-11 05:17:46+00:00,21,4,24,0.96
NFLX,"Q1 Earnings Season starts with $JPM $GS $MS $BAC $FRC $NFLX in April!

These are big SWING opportunities and to bui… https://t.co/HeKWuxvkBQ",2023-03-11 02:40:04+00:00,103,84,116,0.620320856
NFLX,"Glad to see premium subs having successful days back to back! This week proved that levels, a plan, and proper risk… https://t.co/8Cw9ehuFM2",2023-03-11 00:55:52+00:00,19,2,19,0.904761905
NFLX,"Solid performance this week! 

+2.78% 

5 Winning Trades: $NFLX $AMZN $NVDA $TQQQ $AAPL

1 Losing Trade: $TNA 

I'm… https://t.co/91yQFOelQV",2023-03-11 00:15:31+00:00,9,1,10,1
