company,tweet,created_at,likes,retweets,replies,ratio
SBUX,"⚠ 3/13 Daily Recap ⚠

$VIX 25C 2000% ✅
$SPX 3800P 100% ✅
$SPX 4050P 90% ✅
$COIN 70C 56% ✅
$AMD 83C 43% ✅
$TTWO 115C… https://t.co/nEHysysaKQ",2023-03-13 20:23:12+00:00,7,1,7,0.875
SBUX,"Solid IG post by @Dividend_Dollar 

$PEP $ABT $HD $NKE $LOW $AVGO $JPM $SBUX $MSFT $IRM $COST $TROW https://t.co/8ziEzgNzui",2023-03-13 17:15:21+00:00,22,2,13,0.541666667
SBUX,"Earn DIVIDEND income every month with these 12 dividend stocks

Jan - $PEP
Feb - $ABT
Mar - $HD
Apr - $NKE
May -… https://t.co/1MAb1rSzBY",2023-03-13 15:41:37+00:00,604,114,433,0.603064067
SBUX,"$5K put in $CVX gets $188/yr in dividends

$5K put in $MO gets $398/yr in dividends

$5K put in $JEPQ gets $612/yr… https://t.co/lTjYhxTuZV",2023-03-13 15:28:45+00:00,56,4,5,0.083333333
SBUX,Like SVB lines on Friday the real action at $SBUX happened with the points devaluation last month... https://t.co/wU7Oe9ohcM,2023-03-13 13:13:19+00:00,10,0,8,0.8
SBUX,🌐 @Starbucks has just launched a limited edition NFT collection featuring stunning artwork inspired by their logo.… https://t.co/2WFd3jiggv,2023-03-13 01:47:22+00:00,13,3,4,0.25
SBUX,"$MO $SBUX $WEN

I own all 3!!!!

Credit: Stock masters on IG https://t.co/kSJ90wo3ij",2023-03-12 03:09:21+00:00,256,41,94,0.316498316
SBUX,Becoming a long list again after this week's pullback. Here's the watch list of stocks with projected annual return… https://t.co/SiP6sQxnkA,2023-03-11 15:00:01+00:00,27,7,30,0.882352941
SBUX,"Starbucks is always busy on a college campus 🏫☕️💰

Do you own the stock? $SBUX https://t.co/3SNVJRLgeO",2023-03-11 14:50:09+00:00,83,1,5,0.05952381
SBUX,"6. Starbucks - $SBUX

Strong brand with a very loyal customer base. Let SBUX dividends pay for your $5 daily coffee… https://t.co/PDT7ijc0Jd",2023-03-11 14:05:31+00:00,41,2,7,0.162790698
SBUX,Getting bad out there . Converting all cash to $sbux gift cards.… https://t.co/uO74xUgDBT,2023-03-11 00:28:33+00:00,172,13,116,0.627027027
SBUX,Moving all liquid assets to $sbux gift cards.… https://t.co/UQiO9x3qwX,2023-03-11 00:26:44+00:00,21,2,10,0.434782609
