company,tweet,created_at,likes,retweets,replies,ratio
TSLA,BYD says report that Tesla won’t extend battery supply partnership with it untrue! https://t.co/qrapp64AJT $TSLA $BYDDF $BYDDY,2023-03-14 01:24:38+00:00,8,2,3,0.3
TSLA,"$TSLA
Market News: 🇨🇳Tesla launches domestic delivery of its new flagship models, Model S/X. You can also make a te… https://t.co/FXILJIlJzd",2023-03-14 01:20:06+00:00,14,3,10,0.5882352941176471
TSLA,"More #Lithium, #EV battery supply chain detail from $ALB. $SQM $LTHM $PLL $LAC $TSLA $GM $F $RIVN https://t.co/Re5ARKwJ4T",2023-03-14 01:07:54+00:00,3,1,2,0.5
TSLA,Portero Hill on Tesla Full Self-Driving Beta 11.3.1. Computer vision is capable of a lot more than you imagined.… https://t.co/LEZyQGitvy,2023-03-14 01:04:29+00:00,57,10,1,0.014925373134328358
TSLA,"Cathie Wood's $ARKK $ARKW bought 26,727 shares of $TSLA today",2023-03-14 01:03:49+00:00,6,1,4,0.5714285714285714
TSLA,"BYD says report that Tesla won't extend battery supply partnership with it untrue
https://t.co/s5MBUS5qfQ
$BYDDY $BYDDF $TSLA",2023-03-14 01:03:48+00:00,3,1,4,1.0
TSLA,"Cathie Wood of $ARKK bought 26,727 shares of Tesla, $TSLA, today.",2023-03-14 01:02:00+00:00,329,28,321,0.8991596638655462
TSLA,"Cathie bought more Tesla today… she knows, she sees, she buys  🤷‍♂️ $TSLA https://t.co/JCovzWaFTt… https://t.co/tR2t19NNlK",2023-03-14 00:52:14+00:00,4,1,1,0.2
TSLA,Potential bullish deep crab pattern developing on $TSLA  on daily tf . Target 191 https://t.co/bZdXLBguLh,2023-03-14 00:52:09+00:00,12,3,3,0.2
TSLA,@elonmusk @BillyM2k $TSLA crazy undervalued at the moment.,2023-03-14 00:45:05+00:00,19,2,3,0.14285714285714285
TSLA,"🐺Lone Wolf Watchlist🐺

$TSLA Over 177.35📈
$AAPL Over 153.14📈
$AMZN Over 94.02📈
$NVDA Under 222.97📉

Plan the Trade,… https://t.co/lc2PVNcubW",2023-03-14 00:39:42+00:00,6,2,7,0.875
TSLA,A lot has changed since the first unveil of the Cybertruck in 2019. What do you think the starting price will be wh… https://t.co/x9NSI1Q92q,2023-03-14 00:35:08+00:00,91,14,98,0.9333333333333333
TSLA,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2023-03-14 00:31:15+00:00,3,2,4,0.8
TSLA,"Driving to Bernal Heights in San Francisco on Tesla Full Self-Driving Beta 11.3.1 

$TSLA @elonmusk… https://t.co/uPsfWyHHot",2023-03-14 00:28:41+00:00,85,7,45,0.4891304347826087
TSLA,"This is a real life $TSLA conversation from this weekend in a sauna w/ ~12 people

I was asked what I do to have a… https://t.co/6Q5K4VgOF5",2023-03-14 00:23:40+00:00,352,19,369,0.9946091644204852
