company,tweet,created_at,likes,retweets,replies,ratio
WMT,"Walmart CEO Doug McMillion was just awarded 138,050 shares of $WMT stock at a cost basis of $0 https://t.co/N5Rj7NsY1z",2023-03-13 21:40:28+00:00,103,12,103,0.895652174
WMT,"Truly a renaissance gentleman @CardanoWEED,
Presenting @EpochsEnd and writing dope articles for @WorldMobileTeam… https://t.co/yz4H9krQxC",2023-03-13 18:57:08+00:00,9,3,9,0.75
WMT,"💻 The #WorldMobile Dev Diary for February is LIVE!

➡️ https://t.co/PwKn7TKn71

$WMT #CardanoCommunity #Blockchain… https://t.co/SjRJ69MHR1",2023-03-13 18:56:49+00:00,89,21,51,0.463636364
WMT,"Starts next epoch. Don't miss out on these tokens!
https://t.co/6ud1VwUw3P

Delegate your $ADA to the 🌟Star Forge⚡[… https://t.co/MVSMPZQm0H",2023-03-13 18:42:41+00:00,21,6,0,0
WMT,"I'm excited to see the continued rollout of @WorldMobileTeam. 

Bringing telecom and internet to billions of people… https://t.co/tVmYll3w9P",2023-03-13 18:37:26+00:00,110,8,53,0.449152542
WMT,"Price action for $WMT today: 

 For full charting and live data: https://t.co/6T4Cv3mrOj https://t.co/77Dz6iczSg",2023-03-13 18:31:38+00:00,42,3,10,0.222222222
WMT,"Another week, another milestone for the #WorldMobile community!!

So bullish for this project and the team behind i… https://t.co/BtFs6XuQfq",2023-03-13 14:42:35+00:00,26,4,28,0.933333333
WMT,"New week, new #AirNodes 📡

Over the weekend, @WorldMobileTeam successfully installed and deployed 8 new AirNodes in… https://t.co/0qqsGd9o3H",2023-03-13 10:29:37+00:00,257,64,257,0.800623053
WMT,"cycle is #CARDANO #DEFI with our POWERFUL 400-800% Over collaterized stable coin @DjedStablecoin $DJED . 

I expect… https://t.co/OlKqnbExIc",2023-03-13 01:59:06+00:00,13,1,14,1
WMT,"L❤️VE seeing all of u crazy ass apes buying all the bags, filled carts, and even the whole fkn shelves!! All stocke… https://t.co/7szQW2GakW",2023-03-13 01:19:24+00:00,289,32,59,0.183800623
WMT,"#WMT $WMT Walmart insiders continue to dump stock, bringing the total sold to $2,725,354,891. 💰 https://t.co/VUmQQmPjhd",2023-03-12 23:30:00+00:00,159,40,146,0.733668342
WMT,AMC Popcorn is popping off the shelves at $WMT #AMCPerfectlyPopcorn https://t.co/iDfEnE2WFs,2023-03-12 21:38:11+00:00,87,16,58,0.563106796
WMT,"$WMT haters will soon be $WMT holders 😎

Go full 🦍 on @WorldMobileTeam",2023-03-12 21:00:04+00:00,44,2,27,0.586956522
WMT,"$WMT partners with Virtua, allowing users to find unique resources and participate in a treasure hunt in the immers… https://t.co/WYf0Ie5ll0",2023-03-12 20:52:03+00:00,11,3,9,0.642857143
WMT,"4 Aristocrats
$KO The Coca-Cola Company
$WMT Walmart
$TROW T. Rowe Price 
$CB Chubb

1 Challenger
$LRCX Lam Research https://t.co/WM0ELYM79s",2023-03-12 19:02:32+00:00,58,6,18,0.28125
WMT,"Epoch 398 results, we are pleased to announce that all 10 scheduled blocks were minted and 528 $WMT claimed. For Ep… https://t.co/SUVcWRmAcI",2023-03-12 18:08:43+00:00,8,1,1,0.111111111
WMT,Buying $ADA #Cardano or $WMT #WorldMobile during this bear market is more important than the price you pay to get i… https://t.co/axu9cswGEq,2023-03-12 16:00:16+00:00,9,1,5,0.5
WMT,"Updates:
- A4G pool has been selected as one of the 10 @FluidTokens #ISPO pools! 🎉
Delegate before March 26th for m… https://t.co/FXDs2dpOke",2023-03-12 15:47:30+00:00,5,5,3,0.3
WMT,"Epoch 398 staking results:

🧱Blocks: 46
💰Lifetime ROS: 4.0%
Pending / paid donations:
797 $ADA / ₳ 24,380 ❤️
🎁Pendi… https://t.co/YUa9XrKnda",2023-03-12 15:47:29+00:00,19,5,13,0.541666667
WMT,"$WMT 

Sitting on the 200ma , that has to hold or moves back to 134.5-132.5-130..128 IMO 

odds are it bounces sinc… https://t.co/9rWKvQfvgX",2023-03-12 13:23:03+00:00,58,2,58,0.966666667
WMT,BREAKING 📢 Walmart $WMT Insiders are off-loading shares of this retailer. Is it time to sell? For more Insider scoo… https://t.co/btckIh1j3P,2023-03-12 11:56:50+00:00,3,1,2,0.5
WMT,"Next exciting $WMT price level is 0.6150 $ADA, it's possible that a similar accumulation could occur here as it did… https://t.co/eYrUFjmi6u",2023-03-12 10:33:18+00:00,3,1,3,0.75
WMT,"$WMT 23-03-12
GM!!! 
2 daily $wmt➡️ Well... It's one of those important days again ... bounce happy, reject also ha… https://t.co/W1RBQPv9ob",2023-03-12 10:30:03+00:00,3,1,3,0.75
WMT,"$WMT has two ways of boosting profit margins:

1) advertising 
2) operating a third-party seller marketplace, simil… https://t.co/qKyqneCfU6",2023-03-12 06:13:11+00:00,9,2,5,0.454545455
WMT,"People think that $TSM will be the biggest casualty of a Chinese invasion of Taiwan

People don't think about all t… https://t.co/ArNxEeUczL",2023-03-12 05:02:21+00:00,11,2,10,0.769230769
WMT,"Dow30stocks YTD

DowJones -4%

-14% $JNJ
-13% $AMGN $MMM $UNH
-11% $CVX $IBM $WBA
-10% $HON
-9% $HD $PG
-7% $KO $VZ… https://t.co/Us8V1BMnsF",2023-03-11 22:13:22+00:00,6,1,5,0.714285714
WMT,"Walmart $WMT set to close globally in certain communities- including 154 in the US and 9 in Canada. 

The reasons c… https://t.co/ifK76f08id",2023-03-11 21:51:33+00:00,153,13,0,0
WMT,"Walmart $WMT set to close globally in certain communities- including 154 in the US and 9 in Canada. 

The reasons c… https://t.co/dpPF4ui6HY",2023-03-11 21:50:17+00:00,15,1,0,0
WMT,@mistman78 He was against raising rates and thought inflation is not as important as financial markets. That’s why… https://t.co/NfRzSbwgsq,2023-03-11 19:49:10+00:00,4,1,1,0.2
WMT,"Another ENAlliance Twitter Space starts in few minutes!!

Join myself, @RobCardano, @CloverNodes &amp; @ChipDapper on a… https://t.co/ZpMNKNNZNa",2023-03-11 15:59:51+00:00,17,6,11,0.47826087
WMT,"Here are 10 stocks that are known to pay increasing dividends:

Johnson &amp; Johnson $JNJ
Procter &amp; Gamble $PG
Coca-Co… https://t.co/vswHWMnR5X",2023-03-11 15:56:16+00:00,285,45,190,0.575757576
WMT,"$WMT 23-03-11
Total crypto marketcap 2d➡️
Narratives vs. technicals. Last bearmarket the buy signal was wiped out b… https://t.co/K5ewnzCqH4",2023-03-11 10:13:04+00:00,6,2,3,0.375
WMT,"You guys, 
Should we be watching $WMT 📈🍿stock with our investment popping in? $AMC 😏",2023-03-11 06:37:01+00:00,43,7,14,0.28
WMT,The nice thing about $WMT #WorldMobile is that their business thrives in both bull and bear markets. People will al… https://t.co/aKl6IpYk7T,2023-03-10 23:03:12+00:00,4,2,1,0.166666667
WMT,"This weeks World Mobile Token #giveaway #winners have been selected and 100 $wmt distributed to each address.

tx i… https://t.co/s4MLtfIm1v",2023-03-10 21:44:42+00:00,15,4,17,0.894736842
WMT,"📊BeamNode's WorldMobile Weekly Stats

📡AirNodes:  262
📶Network:   381.16 GB
👫Users:         19,213

2 new AirNodes… https://t.co/Hjc0cXDdXs",2023-03-10 21:12:30+00:00,10,7,16,0.941176471
WMT,"Walmart's now in healthcare, financial services, advertising, and marketplace fulfillment services! 

$WMT is a conglomerate now",2023-03-10 19:32:18+00:00,9,2,11,1
