company,tweet,created_at,likes,retweets,replies,ratio
TSLA,BYD says report that Tesla won’t extend battery supply partnership with it untrue! https://t.co/qrapp64AJT $TSLA $BYDDF $BYDDY,2021-08-30 00:00:00,8,2,3,0.3
TSLA,"$TSLA
Market News: 🇨🇳Tesla launches domestic delivery of its new flagship models, Model S/X. You can also make a te… https://t.co/FXILJIlJzd",2021-08-30 00:00:00,14,3,10,0.5882352941176471
TSLA,"More #Lithium, #EV battery supply chain detail from $ALB. $SQM $LTHM $PLL $LAC $TSLA $GM $F $RIVN https://t.co/Re5ARKwJ4T",2021-08-30 00:00:00,3,1,2,0.5
TSLA,Portero Hill on Tesla Full Self-Driving Beta 11.3.1. Computer vision is capable of a lot more than you imagined.… https://t.co/LEZyQGitvy,2021-08-30 00:00:00,57,10,1,0.0149253731343283
TSLA,"Cathie Wood's $ARKK $ARKW bought 26,727 shares of $TSLA today",2021-08-30 00:00:00,6,1,4,0.5714285714285714
TSLA,"BYD says report that Tesla won't extend battery supply partnership with it untrue
https://t.co/s5MBUS5qfQ
$BYDDY $BYDDF $TSLA",2021-08-30 00:00:00,3,1,4,1.0
TSLA,"Cathie Wood of $ARKK bought 26,727 shares of Tesla, $TSLA, today.",2021-08-30 00:00:00,329,28,321,0.8991596638655462
TSLA,"Cathie bought more Tesla today… she knows, she sees, she buys  🤷‍♂️ $TSLA https://t.co/JCovzWaFTt… https://t.co/tR2t19NNlK",2021-08-30 00:00:00,4,1,1,0.2
TSLA,Potential bullish deep crab pattern developing on $TSLA  on daily tf . Target 191 https://t.co/bZdXLBguLh,2021-08-30 00:00:00,12,3,3,0.2
TSLA,@elonmusk @BillyM2k $TSLA crazy undervalued at the moment.,2021-08-30 00:00:00,19,2,3,0.1428571428571428
TSLA,"🐺Lone Wolf Watchlist🐺

$TSLA Over 177.35📈
$AAPL Over 153.14📈
$AMZN Over 94.02📈
$NVDA Under 222.97📉

Plan the Trade,… https://t.co/lc2PVNcubW",2021-08-27 00:00:00,6,2,7,0.875
TSLA,A lot has changed since the first unveil of the Cybertruck in 2019. What do you think the starting price will be wh… https://t.co/x9NSI1Q92q,2021-08-27 00:00:00,91,14,98,0.9333333333333332
TSLA,🚨SHARED WITH THE MEMBERS PRE MARKET🚨 $amd OUR LEVELS ARE 2 SIGMA COMBINED WITH QUANTITIVE CALCULATIONS. $meta $msft… https://t.co/lMbHC1GwKH,2021-08-27 00:00:00,3,2,4,0.8
TSLA,"Driving to Bernal Heights in San Francisco on Tesla Full Self-Driving Beta 11.3.1 

$TSLA @elonmusk… https://t.co/uPsfWyHHot",2021-08-27 00:00:00,85,7,45,0.4891304347826087
TSLA,"This is a real life $TSLA conversation from this weekend in a sauna w/ ~12 people

I was asked what I do to have a… https://t.co/6Q5K4VgOF5",2021-08-27 00:00:00,352,19,369,0.9946091644204852
TSLA,Everyone ready for CPI tomorrow? Big day ahead again. $tsla https://t.co/yUQwnvwODo,2021-08-27 00:00:00,126,5,2,0.015267175572519
TSLA,"$TSLA  Elon Musk just reported his ownership is

715,022,706 shs, 20.6% of O/S, which include

411,051,576 shs held… https://t.co/FmXN1SqzfK",2021-08-27 00:00:00,18,2,20,1.0
TSLA,"MARK YOUR CALENDARS!

Tomorrow, Tuesday 3/14 at 1PM CENTRAL, Amy @SF___Tahoe joins me to discuss her investing jour… https://t.co/DMv5IWkDUs",2021-08-27 00:00:00,23,4,20,0.7407407407407407
TSLA,If someone sold $TSLA because @elonmusk is protecting and exercising free speech they are leading a sad life.,2021-08-27 00:00:00,58,9,26,0.3880597014925373
TSLA,$TSLA #TSLA darkpool sentiment has shifted green today for the first time in 3 weeks. Trend shift happens when smar… https://t.co/i7xaSe4g4J,2021-08-27 00:00:00,11,1,8,0.6666666666666666
TSLA,"Cathie Wood and Ark Invest bought 26,727 more shares of Tesla $TSLA stock today",2021-08-26 00:00:00,80,11,32,0.3516483516483517
TSLA,They can’t find bids during open hours. Bidding futures is the only trick left on top of bidding the cult stocks li… https://t.co/1IXNqWA1CB,2021-08-26 00:00:00,17,3,11,0.55
TSLA,"Stocks w/ most active options trading:

$TSLA - 2.036M
$BAC - 1.046M
$AAPL - 974k
$AMZN - 732k
$NVDA - 636k
$SCHW -… https://t.co/f8lpMZEIYU",2021-08-26 00:00:00,36,5,22,0.5365853658536586
TSLA,"Every Morning several hours before the open
I Study, Research &amp; Find at least 12 Ideas for the Members in #ACT
Each… https://t.co/KdYl7Bhg6o",2021-08-26 00:00:00,3,1,3,0.75
TSLA,@DansTesla Nah. I will stick with $TSLA. Don’t want to own any Chinese stocks…,2021-08-26 00:00:00,11,1,5,0.4166666666666667
TSLA,"Regional Banks Have fallen at the 3rd fastest rate since the 1970's.

December FED Futures were 5.58% last week...… https://t.co/inaY46593m",2021-08-26 00:00:00,65,13,18,0.2307692307692307
TSLA,"Want a $SPY or $TSLA chart from my perspective to study tonight?

100 likes to unlock the chart! ❤️ 🔒",2021-08-26 00:00:00,124,2,122,0.9682539682539684
TSLA,"Here’s a video about the chart I tweeted yesterday, if you’re interested in learning more about what it shows— othe… https://t.co/L4qlBb5L79",2021-08-26 00:00:00,33,2,19,0.5428571428571428
TSLA,"PETE &amp; REPEAT....

#XGSnakeAlgoMethod &amp; #XGBoxTopMethod 
are    E V E R Y T H I N G

 #ItsALLPlanned… https://t.co/ewrpeiMH7G",2021-08-26 00:00:00,10,4,10,0.7142857142857143
TSLA,Bank &amp; #Biotech #Stocks Command Investors Attention To Begin The Week – $AAPL $ARKK $ILNM $INM $INVO $PRVB $SGEN… https://t.co/KCLNQBWS1R,2021-08-26 00:00:00,3,2,1,0.2
TSLA,$AAPL $AMZN $TSLA $GOOG All look like major tops. $MSFT looks about the same as well. https://t.co/NYAOb4w1bQ,2021-08-25 00:00:00,85,7,80,0.8695652173913043
TSLA,Bulls defended $167 on $TSLA and the gap below today.. my key range for TSLA is $167-180 for a bigger move up and d… https://t.co/8JvHCOukuN,2021-08-25 00:00:00,8,1,2,0.2222222222222222
TSLA,The wealthy don’t work for $. They acquire assets &amp; make their $ work for them. $TSLA https://t.co/vAhBhJMCje,2021-08-25 00:00:00,79,10,59,0.6629213483146067
TSLA,"Some interesting put flow coming in above the ask this afternoon, check it out! 👀👇

$SPY $XOP $JPM $TSLA $MSFT $IWM https://t.co/HPUyGEGzeR",2021-08-25 00:00:00,43,8,17,0.3333333333333333
TSLA,"Warren Buffett, when will you invest in the most innovative, consequential company of our lifetime? @elonmusk $TSLA https://t.co/25agl0Ib0D",2021-08-25 00:00:00,170,23,154,0.7979274611398963
TSLA,@DisruptivDecade It's not the first time. Gordon has said many reasonable things... just never about $TSLA.,2021-08-25 00:00:00,106,1,62,0.5794392523364486
TSLA,"Morgan Stanley Remains Optimistic on Tesla ( $TSLA ), Expects Demand to Pick Up in March

https://t.co/dMJyyzdfHr",2021-08-25 00:00:00,34,6,6,0.15
TSLA,"Morgan Stanley Remains Optimistic on Tesla ( $TSLA ), Expects Demand to Pick Up in March

https://t.co/RnIsDWizYo",2021-08-25 00:00:00,47,8,27,0.4909090909090909
TSLA,Would you like me to take it off? 🔥 $TSLA https://t.co/Hc3v01mGfx,2021-08-25 00:00:00,286,27,308,0.9840255591054312
TSLA,I enjoy charging my Cybertruck amongst the stars. ✨⚡️ $TSLA https://t.co/ElgWGxlkyS,2021-08-25 00:00:00,144,19,5,0.0306748466257668
TSLA,https://t.co/0Sa5705wlx Car Dealerships EXPOSED at the Shopping Mall! | Is Legacy Automotive Collapsing? *OMINOUS W… https://t.co/w5KmVaqbmj,2021-08-24 00:00:00,13,5,1,0.0555555555555555
TSLA,Looking at today's top mentions across stocks paints a very clear picture of what the chatter is out there. We'll s… https://t.co/rhDPMOGJyK,2021-08-24 00:00:00,22,9,27,0.8709677419354839
TSLA,"TESLA Q4 SAFETY REPORT PROVES #1 SAFEST VEHICLE IN THE WORLD IS A TESLA! ⚡️⚡️⚡️

WITH AUTOPILOT: 1 crash per 4.85M… https://t.co/7FvDp8ZZyU",2021-08-24 00:00:00,139,26,17,0.103030303030303
TSLA,HEY $MS since you’re calling for Armageddon and $SPX 3K by Summer why didn’t you tell all your retail clients to du… https://t.co/ZAqvCuQlhV,2021-08-24 00:00:00,11,3,8,0.5714285714285714
TSLA,"Very interesting development - when the battery expert stops using your batteries, you probably have a problem.… https://t.co/dWyNRhoYdu",2021-08-24 00:00:00,121,7,113,0.8828125
TSLA,"Agree.  Turns are nicer/tighter on #FSDBeta #V11.3.1. Less slop, breach of center line, etc. 
And as always,… https://t.co/RoFDJxOmWr",2021-08-24 00:00:00,28,1,3,0.1034482758620689
TSLA,👀 $TSLA adding a foundation INSIDE Giga Texas for more stamping. Lots of digging in there. https://t.co/EKG59IkfN9,2021-08-24 00:00:00,39,4,8,0.1860465116279069
TSLA,"The Cybertruck will be the strongest, toughest, baddest, and the best product that Tesla has ever created.… https://t.co/z3zazEvwUA",2021-08-24 00:00:00,317,54,365,0.9838274932614556
TSLA,"#ES_F 3/14 Trade Plan

CPI TOMORROW 1HR BEFORE OPEN⚠️

KL 3930

Between 3930/3855 I expect choppy conditions unless… https://t.co/EsFy07kxRa",2021-08-24 00:00:00,4,1,5,1.0
